IDBASE,X,Y
208, 48.8716386085, 2.3385883742
209, 48.8666994745, 2.3526605049
210, 48.8671867336, 2.35040215708
211, 48.8704594303, 2.33170418168
212, 48.8704824971, 2.34849116062
213, 48.8716116301, 2.33843246599
214, 48.8718709047, 2.34015696528
215, 48.8660102123, 2.34596817851
216, 48.8659482168, 2.34614856902
217, 48.8699540583, 2.32874610945
218, 48.871755236, 2.34089396043
219, 48.8651545109, 2.35082757057
220, 48.87150239, 2.34242672611
221, 48.867467367, 2.34967393108
222, 48.8703226532, 2.34924427856
223, 48.8669997662, 2.34855169026
224, 48.8666462135, 2.34496069886
225, 48.8703709477, 2.34901766866
226, 48.868417645, 2.34712275848
227, 48.8703031389, 2.33077636667
228, 48.8694848639, 2.33849189557
229, 48.8686551461, 2.34329129164
230, 48.8647447383, 2.35117673455
231, 48.8694711658, 2.34831187516
232, 48.8716231192, 2.3416957
233, 48.8671923411, 2.35040466362
234, 48.8703899964, 2.3489384278
235, 48.866393254, 2.34447591271
236, 48.8675172008, 2.33492331448
237, 48.8700038913, 2.34262659168
238, 48.8714625604, 2.33756340097
239, 48.8665340994, 2.34441665453
240, 48.8710160203, 2.3454018818
241, 48.8640422438, 2.35117872264
242, 48.8679940259, 2.34754295324
243, 48.8716818002, 2.34132934123
244, 48.8698832808, 2.32835506427
245, 48.8701717333, 2.33411706366
246, 48.8713983539, 2.33718765475
247, 48.8702302128, 2.34969155587
248, 48.8685596246, 2.35370816226
249, 48.8678285447, 2.33767232239
250, 48.8709103767, 2.34603236178
251, 48.8701679204, 2.33000106987
252, 48.8700218097, 2.32914142084
253, 48.8701426236, 2.32985196517
254, 48.8681349555, 2.34861669759
255, 48.8672217201, 2.35041910171
256, 48.8657609125, 2.35174695651
257, 48.8660982278, 2.34537208602
258, 48.87081457, 2.34662192573
259, 48.8702172562, 2.33390661683
260, 48.8672370486, 2.35042642185
261, 48.8658671501, 2.34676621851
262, 48.8697688986, 2.35100435602
263, 48.8687861365, 2.3467954858
264, 48.8640902632, 2.34979562712
265, 48.8712656764, 2.34391517019
266, 48.867971934, 2.34733768222
267, 48.8701135279, 2.32967816581
268, 48.8677350748, 2.33448627744
269, 48.8660948383, 2.34516019492
270, 48.8682296612, 2.3500618521
271, 48.8660545707, 2.3456692216
272, 48.8676052228, 2.33456468579
273, 48.8657689397, 2.35214651113
274, 48.870749219, 2.33341753178
275, 48.8699918016, 2.32897188748
276, 48.8713072331, 2.33665684748
277, 48.8687828083, 2.34323567019
278, 48.8675942316, 2.33515515557
